Blocks: '[-30:65:-20:1:4, -29:65:-20:1:4, -28:65:-20:1:4, -31:65:-19:1:4, -30:65:-19:1:4,
  -29:65:-19:1:4, -28:65:-19:1:4, -27:65:-19:1:4, -32:65:-18:1:4, -31:65:-18:1:4,
  -30:65:-18:1:4, -29:65:-18:1:4, -28:65:-18:1:4, -27:65:-18:1:4, -26:65:-18:1:4,
  -32:65:-17:1:4, -31:65:-17:1:4, -30:65:-17:1:4, -29:65:-17:1:4, -28:65:-17:1:4,
  -27:65:-17:1:4, -26:65:-17:1:4, -32:65:-16:1:4, -31:65:-16:1:4, -30:65:-16:1:4,
  -29:65:-16:1:4, -28:65:-16:1:4, -27:65:-16:1:4, -26:65:-16:1:4, -31:65:-15:1:4,
  -30:65:-15:1:4, -29:65:-15:1:4, -28:65:-15:1:4, -27:65:-15:1:4, -30:65:-14:1:4,
  -13:72:34:3, -15:73:-39:1, -14:73:-39:1, -13:73:-39:1, -16:73:-38:1, -15:73:-38:3,
  -14:73:-38:3, -13:73:-38:3, -12:73:-38:1, -17:73:-37:1, -16:73:-37:3, -15:73:-37:3,
  -14:73:-37:3, -13:73:-37:3, -12:73:-37:3, -11:73:-37:1, -17:73:-36:1, -16:73:-36:15,
  -15:73:-36:3, -14:73:-36:17, -13:73:-36:3, -12:73:-36:15, -11:73:-36:1, -17:73:-35:1,
  -16:73:-35:3, -15:73:-35:3, -14:73:-35:3, -13:73:-35:3, -12:73:-35:3, -11:73:-35:1,
  -16:73:-34:1, -15:73:-34:3, -14:73:-34:3, -13:73:-34:3, -12:73:-34:1, -15:73:-33:1,
  -14:73:-33:1, -13:73:-33:1, -33:73:-23:20, -32:73:-23:20, -31:73:-23:20, -30:73:-23:20,
  -29:73:-23:1, -28:73:-23:20, -27:73:-23:20, -26:73:-23:20, -25:73:-23:20, -3:73:-23:20,
  -2:73:-23:20, -1:73:-23:20, 0:73:-23:20, 1:73:-23:1, 2:73:-23:20, 3:73:-23:20, 4:73:-23:20,
  5:73:-23:20, -34:73:-22:1, -33:73:-22:9:8, -32:73:-22:9:8, -31:73:-22:9:8, -30:73:-22:9:8,
  -29:73:-22:9:8, -28:73:-22:9:8, -27:73:-22:9:8, -26:73:-22:9:8, -25:73:-22:9:8,
  -24:73:-22:1, -4:73:-22:1, 6:73:-22:1, -35:73:-21:20, -34:73:-21:9:8, -33:73:-21:9:8,
  -32:73:-21:9:8, -31:73:-21:9:8, -30:73:-21:9:8, -29:73:-21:9:8, -28:73:-21:9:8,
  -27:73:-21:9:8, -26:73:-21:9:8, -25:73:-21:9:8, -24:73:-21:9:8, -23:73:-21:20, -5:73:-21:20,
  7:73:-21:20, -35:73:-20:20, -34:73:-20:9:8, -33:73:-20:9:8, -32:73:-20:9:8, -31:73:-20:9:8,
  -30:73:-20:9:8, -29:73:-20:9:8, -28:73:-20:9:8, -27:73:-20:9:8, -26:73:-20:9:8,
  -25:73:-20:9:8, -24:73:-20:9:8, -23:73:-20:20, -5:73:-20:20, 7:73:-20:20, -35:73:-19:20,
  -34:73:-19:9:8, -33:73:-19:9:8, -32:73:-19:9:8, -31:73:-19:9:8, -30:73:-19:12, -29:73:-19:12,
  -28:73:-19:12, -27:73:-19:9:8, -26:73:-19:9:8, -25:73:-19:9:8, -24:73:-19:9:8, -23:73:-19:1,
  -5:73:-19:1, 7:73:-19:20, -35:73:-18:20, -34:73:-18:9:8, -33:73:-18:9:8, -32:73:-18:9:8,
  -31:73:-18:9:8, -30:73:-18:12, -29:73:-18:12, -28:73:-18:12, -27:73:-18:9:8, -26:73:-18:9:8,
  -25:73:-18:9:8, -24:73:-18:9:8, -23:73:-18:107:7, -16:73:-18:44, -15:73:-18:44,
  -14:73:-18:44, -13:73:-18:44, -12:73:-18:44, 7:73:-18:20, -35:73:-17:1, -34:73:-17:9:8,
  -33:73:-17:9:8, -32:73:-17:9:8, -31:73:-17:9:8, -30:73:-17:9:8, -29:73:-17:12, -28:73:-17:9:8,
  -27:73:-17:9:8, -26:73:-17:9:8, -25:73:-17:9:8, -24:73:-17:9:8, -23:73:-17:107:7,
  -16:73:-17:44, -15:73:-17:44, -14:73:-17:44, -13:73:-17:44, -12:73:-17:44, 1:73:-17:17,
  7:73:-17:1, -35:73:-16:20, -34:73:-16:9:8, -33:73:-16:9:8, -32:73:-16:83, -31:73:-16:9:8,
  -30:73:-16:9:8, -29:73:-16:9:8, -28:73:-16:9:8, -27:73:-16:9:8, -26:73:-16:9:8,
  -25:73:-16:9:8, -24:73:-16:9:8, -23:73:-16:107:7, -16:73:-16:44, -15:73:-16:44,
  -14:73:-16:44, -13:73:-16:44, -12:73:-16:44, 7:73:-16:20, -35:73:-15:20, -34:73:-15:9:8,
  -33:73:-15:9:8, -32:73:-15:9:8, -31:73:-15:9:8, -30:73:-15:9:8, -29:73:-15:9:8,
  -28:73:-15:9:8, -27:73:-15:9:8, -26:73:-15:9:8, -25:73:-15:9:8, -24:73:-15:9:8,
  -23:73:-15:1, -5:73:-15:1, 7:73:-15:20, -35:73:-14:20, -34:73:-14:9:8, -33:73:-14:9:8,
  -32:73:-14:9:8, -31:73:-14:9:8, -30:73:-14:9:8, -29:73:-14:9:8, -28:73:-14:9:8,
  -27:73:-14:9:8, -26:73:-14:9:8, -25:73:-14:9:8, -24:73:-14:9:8, -23:73:-14:20, -5:73:-14:20,
  7:73:-14:20, -35:73:-13:20, -34:73:-13:9:8, -33:73:-13:9:8, -32:73:-13:9:8, -31:73:-13:9:8,
  -30:73:-13:9:8, -29:73:-13:9:8, -28:73:-13:9:8, -27:73:-13:9:8, -26:73:-13:9:8,
  -25:73:-13:9:8, -24:73:-13:9:8, -23:73:-13:20, -5:73:-13:20, 7:73:-13:20, -34:73:-12:1,
  -33:73:-12:9:8, -32:73:-12:9:8, -31:73:-12:9:8, -30:73:-12:9:8, -29:73:-12:9:8,
  -28:73:-12:9:8, -27:73:-12:9:8, -26:73:-12:9:8, -25:73:-12:9:8, -24:73:-12:1, -4:73:-12:1,
  6:73:-12:1, -33:73:-11:20, -32:73:-11:20, -31:73:-11:1, -30:73:-11:107:4, -29:73:-11:107:4,
  -28:73:-11:107:4, -27:73:-11:1, -26:73:-11:20, -25:73:-11:20, -3:73:-11:20, -2:73:-11:20,
  -1:73:-11:1, 3:73:-11:1, 4:73:-11:20, 5:73:-11:20, -49:73:-5:1, -48:73:-5:1, -47:73:-5:1,
  19:73:-5:1, 20:73:-5:1, 21:73:-5:1, -50:73:-4:1, -49:73:-4:3, -48:73:-4:15, -47:73:-4:3,
  -46:73:-4:1, -30:73:-4:44, -29:73:-4:44, -28:73:-4:44, -15:73:-4:44:8, -14:73:-4:44:8,
  -13:73:-4:44:8, 0:73:-4:44, 1:73:-4:44, 2:73:-4:44, 18:73:-4:1, 19:73:-4:3, 20:73:-4:15,
  21:73:-4:3, 22:73:-4:1, -51:73:-3:1, -50:73:-3:3, -49:73:-3:3, -48:73:-3:3, -47:73:-3:3,
  -46:73:-3:3, -45:73:-3:1, -30:73:-3:44, -29:73:-3:44, -28:73:-3:44, -16:73:-3:44:8,
  -15:73:-3:43, -14:73:-3:44, -13:73:-3:43, -12:73:-3:44:8, 0:73:-3:44, 1:73:-3:44,
  2:73:-3:44, 17:73:-3:1, 18:73:-3:3, 19:73:-3:3, 20:73:-3:3, 21:73:-3:3, 22:73:-3:3,
  23:73:-3:1, -51:73:-2:1, -50:73:-2:3, -49:73:-2:3, -48:73:-2:17, -47:73:-2:3, -46:73:-2:3,
  -45:73:-2:1, -30:73:-2:44, -29:73:-2:44, -28:73:-2:44, -16:73:-2:44:8, -15:73:-2:44,
  -14:73:-2:44, -13:73:-2:44, -12:73:-2:44:8, 0:73:-2:44, 1:73:-2:44, 2:73:-2:44,
  17:73:-2:1, 18:73:-2:3, 19:73:-2:3, 20:73:-2:17, 21:73:-2:3, 22:73:-2:3, 23:73:-2:1,
  -51:73:-1:1, -50:73:-1:3, -49:73:-1:3, -48:73:-1:3, -47:73:-1:3, -46:73:-1:3, -45:73:-1:1,
  -30:73:-1:44, -29:73:-1:44, -28:73:-1:44, -16:73:-1:44:8, -15:73:-1:43, -14:73:-1:44,
  -13:73:-1:43, -12:73:-1:44:8, 0:73:-1:44, 1:73:-1:44, 2:73:-1:44, 17:73:-1:1, 18:73:-1:3,
  19:73:-1:3, 20:73:-1:3, 21:73:-1:3, 22:73:-1:3, 23:73:-1:1, -50:73:0:1, -49:73:0:3,
  -48:73:0:15, -47:73:0:3, -46:73:0:1, -30:73:0:44, -29:73:0:44, -28:73:0:44, -15:73:0:44:8,
  -14:73:0:44:8, -13:73:0:44:8, 0:73:0:44, 1:73:0:44, 2:73:0:44, 18:73:0:1, 19:73:0:3,
  20:73:0:15, 21:73:0:3, 22:73:0:1, -49:73:1:1, -48:73:1:1, -47:73:1:1, 19:73:1:1,
  20:73:1:1, 21:73:1:1, -33:73:7:20, -32:73:7:20, -31:73:7:1, -27:73:7:1, -26:73:7:20,
  -25:73:7:20, -3:73:7:20, -2:73:7:20, -1:73:7:1, 3:73:7:1, 4:73:7:20, 5:73:7:20,
  -34:73:8:1, -24:73:8:1, -4:73:8:1, 6:73:8:1, -35:73:9:20, -23:73:9:20, -5:73:9:20,
  7:73:9:20, -35:73:10:20, -23:73:10:20, -5:73:10:20, 3:73:10:121, 4:73:10:121, 5:73:10:121,
  7:73:10:20, -35:73:11:20, -28:73:11:11:10, -23:73:11:1, -5:73:11:1, -1:73:11:121,
  3:73:11:121, 4:73:11:121, 5:73:11:121, 7:73:11:20, -35:73:12:20, -16:73:12:44, -15:73:12:44,
  -14:73:12:44, -13:73:12:44, -12:73:12:44, 4:73:12:121, 5:73:12:121, 7:73:12:20,
  -35:73:13:1, -31:73:13:11:10, -16:73:13:44, -15:73:13:44, -14:73:13:44, -13:73:13:44,
  -12:73:13:44, 5:73:13:121, 7:73:13:1, -35:73:14:20, -30:73:14:87, -16:73:14:44,
  -15:73:14:44, -14:73:14:44, -13:73:14:44, -12:73:14:44, 3:73:14:121, 4:73:14:121,
  7:73:14:20, -35:73:15:20, -31:73:15:87, -30:73:15:87, -29:73:15:87, -23:73:15:1,
  -5:73:15:1, 0:73:15:121, 1:73:15:121, 2:73:15:121, 3:73:15:121, 4:73:15:121, 7:73:15:20,
  -35:73:16:20, -30:73:16:87, -29:73:16:87, -28:73:16:87, -23:73:16:20, -5:73:16:20,
  1:73:16:121, 2:73:16:121, 3:73:16:121, 7:73:16:20, -35:73:17:20, -29:73:17:87, -23:73:17:20,
  -5:73:17:20, 7:73:17:20, -34:73:18:1, -24:73:18:1, -4:73:18:1, 6:73:18:1, -33:73:19:20,
  -32:73:19:20, -31:73:19:20, -30:73:19:20, -29:73:19:1, -28:73:19:20, -27:73:19:20,
  -26:73:19:20, -25:73:19:20, -3:73:19:20, -2:73:19:20, -1:73:19:20, 0:73:19:20, 1:73:19:1,
  2:73:19:20, 3:73:19:20, 4:73:19:20, 5:73:19:20, -15:73:29:1, -14:73:29:1, -13:73:29:1,
  -16:73:30:1, -15:73:30:3, -14:73:30:3, -13:73:30:3, -12:73:30:1, -17:73:31:1, -16:73:31:3,
  -15:73:31:3, -14:73:31:3, -13:73:31:3, -12:73:31:3, -11:73:31:1, -17:73:32:1, -16:73:32:15,
  -15:73:32:3, -14:73:32:17, -13:73:32:3, -12:73:32:15, -11:73:32:1, -17:73:33:1,
  -16:73:33:3, -15:73:33:3, -14:73:33:3, -13:73:33:3, -12:73:33:3, -11:73:33:1, -16:73:34:1,
  -15:73:34:3, -14:73:34:3, -13:73:34:3, -12:73:34:1, -15:73:35:1, -14:73:35:1, -13:73:35:1,
  -14:74:-36:17, -33:74:-23:20, -32:74:-23:20, -31:74:-23:20, -30:74:-23:20, -29:74:-23:1,
  -28:74:-23:20, -27:74:-23:20, -26:74:-23:20, -25:74:-23:20, -3:74:-23:20, -2:74:-23:20,
  -1:74:-23:20, 0:74:-23:20, 1:74:-23:1, 2:74:-23:20, 3:74:-23:20, 4:74:-23:20, 5:74:-23:20,
  -34:74:-22:1, -33:74:-22:9:8, -32:74:-22:9:8, -31:74:-22:9:8, -30:74:-22:9:8, -29:74:-22:9:8,
  -28:74:-22:9:8, -27:74:-22:9:8, -26:74:-22:9:8, -25:74:-22:9:8, -24:74:-22:1, -4:74:-22:1,
  6:74:-22:1, -35:74:-21:20, -34:74:-21:9:8, -33:74:-21:9:8, -32:74:-21:9:8, -31:74:-21:9:8,
  -30:74:-21:9:8, -29:74:-21:9:8, -28:74:-21:9:8, -27:74:-21:9:8, -26:74:-21:9:8,
  -25:74:-21:9:8, -24:74:-21:9:8, -23:74:-21:20, -5:74:-21:20, 7:74:-21:20, -35:74:-20:20,
  -34:74:-20:9:8, -33:74:-20:9:8, -32:74:-20:9:8, -31:74:-20:9:8, -30:74:-20:9:8,
  -29:74:-20:9:8, -28:74:-20:9:8, -27:74:-20:9:8, -26:74:-20:9:8, -25:74:-20:9:8,
  -24:74:-20:9:8, -23:74:-20:20, -5:74:-20:20, 7:74:-20:20, -35:74:-19:20, -34:74:-19:9:8,
  -33:74:-19:9:8, -32:74:-19:9:8, -31:74:-19:9:8, -30:74:-19:83, -29:74:-19:9:8, -28:74:-19:9:8,
  -27:74:-19:9:8, -26:74:-19:9:8, -25:74:-19:9:8, -24:74:-19:9:8, -23:74:-19:1, -5:74:-19:1,
  7:74:-19:20, -35:74:-18:20, -34:74:-18:9:8, -33:74:-18:9:8, -32:74:-18:9:8, -31:74:-18:9:8,
  -30:74:-18:9:8, -29:74:-18:9:8, -28:74:-18:9:8, -27:74:-18:9:8, -26:74:-18:9:8,
  -25:74:-18:9:8, -24:74:-18:9:8, -23:74:-18:107:7, 7:74:-18:20, -35:74:-17:1, -34:74:-17:9:8,
  -33:74:-17:9:8, -32:74:-17:9:8, -31:74:-17:9:8, -30:74:-17:9:8, -29:74:-17:9:8,
  -28:74:-17:9:8, -27:74:-17:9:8, -26:74:-17:9:8, -25:74:-17:9:8, -24:74:-17:9:8,
  -23:74:-17:107:7, 1:74:-17:17, 7:74:-17:1, -35:74:-16:20, -34:74:-16:9:8, -33:74:-16:9:8,
  -32:74:-16:83, -31:74:-16:9:8, -30:74:-16:9:8, -29:74:-16:9:8, -28:74:-16:9:8, -27:74:-16:9:8,
  -26:74:-16:9:8, -25:74:-16:9:8, -24:74:-16:9:8, -23:74:-16:107:7, 7:74:-16:20, -35:74:-15:20,
  -34:74:-15:9:8, -33:74:-15:9:8, -32:74:-15:9:8, -31:74:-15:9:8, -30:74:-15:9:8,
  -29:74:-15:9:8, -28:74:-15:9:8, -27:74:-15:9:8, -26:74:-15:9:8, -25:74:-15:9:8,
  -24:74:-15:9:8, -23:74:-15:1, -5:74:-15:1, 7:74:-15:20, -35:74:-14:20, -34:74:-14:9:8,
  -33:74:-14:9:8, -32:74:-14:9:8, -31:74:-14:9:8, -30:74:-14:9:8, -29:74:-14:9:8,
  -28:74:-14:9:8, -27:74:-14:9:8, -26:74:-14:9:8, -25:74:-14:9:8, -24:74:-14:9:8,
  -23:74:-14:20, -5:74:-14:20, 7:74:-14:20, -35:74:-13:20, -34:74:-13:9:8, -33:74:-13:9:8,
  -32:74:-13:9:8, -31:74:-13:9:8, -30:74:-13:9:8, -29:74:-13:9:8, -28:74:-13:9:8,
  -27:74:-13:9:8, -26:74:-13:9:8, -25:74:-13:9:8, -24:74:-13:9:8, -23:74:-13:20, -5:74:-13:20,
  7:74:-13:20, -34:74:-12:1, -33:74:-12:9:8, -32:74:-12:9:8, -31:74:-12:9:8, -30:74:-12:9:8,
  -29:74:-12:9:8, -28:74:-12:9:8, -27:74:-12:9:8, -26:74:-12:9:8, -25:74:-12:9:8,
  -24:74:-12:1, -4:74:-12:1, 6:74:-12:1, -33:74:-11:20, -32:74:-11:20, -31:74:-11:1,
  -30:74:-11:107:4, -29:74:-11:107:4, -28:74:-11:107:4, -27:74:-11:1, -26:74:-11:20,
  -25:74:-11:20, -3:74:-11:20, -2:74:-11:20, -1:74:-11:1, 3:74:-11:1, 4:74:-11:20,
  5:74:-11:20, -16:74:-4:44, -12:74:-4:44, -48:74:-2:17, 20:74:-2:17, -16:74:0:44,
  -12:74:0:44, -33:74:7:20, -32:74:7:20, -31:74:7:1, -27:74:7:1, -26:74:7:20, -25:74:7:20,
  -3:74:7:20, -2:74:7:20, -1:74:7:1, 3:74:7:1, 4:74:7:20, 5:74:7:20, -34:74:8:1, -24:74:8:1,
  -4:74:8:1, 6:74:8:1, -35:74:9:20, -23:74:9:20, -5:74:9:20, 7:74:9:20, -35:74:10:20,
  -23:74:10:20, -5:74:10:20, 3:74:10:121, 4:74:10:121, 5:74:10:121, 7:74:10:20, -35:74:11:20,
  -28:74:11:11:10, -23:74:11:1, -5:74:11:1, 4:74:11:121, 5:74:11:121, 7:74:11:20,
  -35:74:12:20, 4:74:12:121, 5:74:12:121, 7:74:12:20, -35:74:13:1, -31:74:13:11:10,
  4:74:13:121, 5:74:13:121, 7:74:13:1, -35:74:14:20, 3:74:14:121, 4:74:14:121, 7:74:14:20,
  -35:74:15:20, -30:74:15:87, -29:74:15:87, -23:74:15:1, -5:74:15:1, 1:74:15:121,
  2:74:15:121, 3:74:15:121, 4:74:15:121, 7:74:15:20, -35:74:16:20, -30:74:16:87, -29:74:16:87,
  -23:74:16:20, -5:74:16:20, 1:74:16:121, 2:74:16:121, 3:74:16:121, 7:74:16:20, -35:74:17:20,
  -23:74:17:20, -5:74:17:20, 7:74:17:20, -34:74:18:1, -24:74:18:1, -4:74:18:1, 6:74:18:1,
  -33:74:19:20, -32:74:19:20, -31:74:19:20, -30:74:19:20, -29:74:19:1, -28:74:19:20,
  -27:74:19:20, -26:74:19:20, -25:74:19:20, -3:74:19:20, -2:74:19:20, -1:74:19:20,
  0:74:19:20, 1:74:19:1, 2:74:19:20, 3:74:19:20, 4:74:19:20, 5:74:19:20, -14:74:32:17,
  -33:75:-23:20, -32:75:-23:20, -31:75:-23:20, -30:75:-23:20, -29:75:-23:1, -28:75:-23:20,
  -27:75:-23:20, -26:75:-23:20, -25:75:-23:20, -3:75:-23:20, -2:75:-23:20, -1:75:-23:20,
  0:75:-23:20, 1:75:-23:1, 2:75:-23:20, 3:75:-23:20, 4:75:-23:20, 5:75:-23:20, -34:75:-22:1,
  -33:75:-22:9:8, -32:75:-22:9:8, -31:75:-22:9:8, -30:75:-22:9:8, -29:75:-22:9:8,
  -28:75:-22:9:8, -27:75:-22:9:8, -26:75:-22:9:8, -25:75:-22:9:8, -24:75:-22:1, -4:75:-22:1,
  6:75:-22:1, -35:75:-21:20, -34:75:-21:9:8, -33:75:-21:9:8, -32:75:-21:9:8, -31:75:-21:9:8,
  -30:75:-21:9:8, -29:75:-21:9:8, -28:75:-21:9:8, -27:75:-21:9:8, -26:75:-21:9:8,
  -25:75:-21:9:8, -24:75:-21:9:8, -23:75:-21:20, -5:75:-21:20, 7:75:-21:20, -35:75:-20:20,
  -34:75:-20:9:8, -33:75:-20:9:8, -32:75:-20:9:8, -31:75:-20:9:8, -30:75:-20:9:8,
  -29:75:-20:9:8, -28:75:-20:9:8, -27:75:-20:9:8, -26:75:-20:9:8, -25:75:-20:9:8,
  -24:75:-20:9:8, -23:75:-20:20, -5:75:-20:20, 7:75:-20:20, -35:75:-19:20, -34:75:-19:9:8,
  -33:75:-19:9:8, -32:75:-19:9:8, -31:75:-19:9:8, -30:75:-19:83, -29:75:-19:9:8, -28:75:-19:9:8,
  -27:75:-19:9:8, -26:75:-19:9:8, -25:75:-19:9:8, -24:75:-19:9:8, -23:75:-19:1, -5:75:-19:1,
  7:75:-19:20, -35:75:-18:20, -34:75:-18:9:8, -33:75:-18:9:8, -32:75:-18:9:8, -31:75:-18:9:8,
  -30:75:-18:9:8, -29:75:-18:9:8, -28:75:-18:9:8, -27:75:-18:9:8, -26:75:-18:9:8,
  -25:75:-18:9:8, -24:75:-18:9:8, -23:75:-18:107:7, 7:75:-18:20, -35:75:-17:1, -34:75:-17:9:8,
  -33:75:-17:9:8, -32:75:-17:9:8, -31:75:-17:9:8, -30:75:-17:9:8, -29:75:-17:9:8,
  -28:75:-17:9:8, -27:75:-17:9:8, -26:75:-17:9:8, -25:75:-17:9:8, -24:75:-17:9:8,
  -23:75:-17:107:7, 1:75:-17:17, 7:75:-17:1, -35:75:-16:20, -34:75:-16:9:8, -33:75:-16:9:8,
  -32:75:-16:9:8, -31:75:-16:9:8, -30:75:-16:9:8, -29:75:-16:9:8, -28:75:-16:9:8,
  -27:75:-16:9:8, -26:75:-16:9:8, -25:75:-16:9:8, -24:75:-16:9:8, -23:75:-16:107:7,
  0:75:-16:18, 7:75:-16:20, -35:75:-15:20, -34:75:-15:9:8, -33:75:-15:9:8, -32:75:-15:9:8,
  -31:75:-15:9:8, -30:75:-15:9:8, -29:75:-15:9:8, -28:75:-15:9:8, -27:75:-15:9:8,
  -26:75:-15:9:8, -25:75:-15:9:8, -24:75:-15:9:8, -23:75:-15:1, -5:75:-15:1, -1:75:-15:18,
  0:75:-15:18, 1:75:-15:18, 7:75:-15:20, -35:75:-14:20, -34:75:-14:9:8, -33:75:-14:9:8,
  -32:75:-14:9:8, -31:75:-14:9:8, -30:75:-14:9:8, -29:75:-14:9:8, -28:75:-14:9:8,
  -27:75:-14:9:8, -26:75:-14:9:8, -25:75:-14:9:8, -24:75:-14:9:8, -23:75:-14:20, -5:75:-14:20,
  0:75:-14:18, 7:75:-14:20, -35:75:-13:20, -34:75:-13:9:8, -33:75:-13:9:8, -32:75:-13:9:8,
  -31:75:-13:9:8, -30:75:-13:9:8, -29:75:-13:9:8, -28:75:-13:9:8, -27:75:-13:9:8,
  -26:75:-13:9:8, -25:75:-13:9:8, -24:75:-13:9:8, -23:75:-13:20, -5:75:-13:20, 7:75:-13:20,
  -34:75:-12:1, -33:75:-12:9:8, -32:75:-12:9:8, -31:75:-12:9:8, -30:75:-12:9:8, -29:75:-12:9:8,
  -28:75:-12:9:8, -27:75:-12:9:8, -26:75:-12:9:8, -25:75:-12:9:8, -24:75:-12:1, -4:75:-12:1,
  6:75:-12:1, -33:75:-11:20, -32:75:-11:20, -31:75:-11:1, -30:75:-11:107:4, -29:75:-11:107:4,
  -28:75:-11:107:4, -27:75:-11:1, -26:75:-11:20, -25:75:-11:20, -3:75:-11:20, -2:75:-11:20,
  -1:75:-11:1, 3:75:-11:1, 4:75:-11:20, 5:75:-11:20, -16:75:-4:44, -12:75:-4:44, -16:75:0:44,
  -12:75:0:44, -33:75:7:20, -32:75:7:20, -31:75:7:1, -27:75:7:1, -26:75:7:20, -25:75:7:20,
  -3:75:7:20, -2:75:7:20, -1:75:7:1, 3:75:7:1, 4:75:7:20, 5:75:7:20, -34:75:8:1, -24:75:8:1,
  -4:75:8:1, 6:75:8:1, -35:75:9:20, -23:75:9:20, -5:75:9:20, 7:75:9:20, -35:75:10:20,
  -33:75:10:87, -27:75:10:87, -26:75:10:87, -23:75:10:20, -5:75:10:20, 5:75:10:121,
  7:75:10:20, -35:75:11:20, -33:75:11:87, -32:75:11:87, -31:75:11:87, -28:75:11:11:10,
  -27:75:11:87, -26:75:11:87, -23:75:11:1, -5:75:11:1, 4:75:11:121, 5:75:11:121, 7:75:11:20,
  -35:75:12:20, -33:75:12:88, -32:75:12:88, -31:75:12:87, 4:75:12:121, 5:75:12:121,
  7:75:12:20, -35:75:13:1, -33:75:13:88, -32:75:13:88, -31:75:13:11:10, 4:75:13:121,
  5:75:13:121, 7:75:13:1, -35:75:14:20, -32:75:14:88, 3:75:14:121, 4:75:14:121, 7:75:14:20,
  -35:75:15:20, -23:75:15:1, -5:75:15:1, 2:75:15:121, 3:75:15:121, 4:75:15:121, 7:75:15:20,
  -35:75:16:20, -23:75:16:20, -5:75:16:20, 2:75:16:121, 3:75:16:121, 7:75:16:20, -35:75:17:20,
  -23:75:17:20, -5:75:17:20, 7:75:17:20, -34:75:18:1, -24:75:18:1, -4:75:18:1, 6:75:18:1,
  -33:75:19:20, -32:75:19:20, -31:75:19:20, -30:75:19:20, -29:75:19:1, -28:75:19:20,
  -27:75:19:20, -26:75:19:20, -25:75:19:20, -3:75:19:20, -2:75:19:20, -1:75:19:20,
  0:75:19:20, 1:75:19:1, 2:75:19:20, 3:75:19:20, 4:75:19:20, 5:75:19:20, -33:76:-23:20,
  -32:76:-23:20, -31:76:-23:20, -30:76:-23:20, -29:76:-23:1, -28:76:-23:20, -27:76:-23:20,
  -26:76:-23:20, -25:76:-23:20, -3:76:-23:20, -2:76:-23:20, -1:76:-23:20, 0:76:-23:20,
  1:76:-23:1, 2:76:-23:20, 3:76:-23:20, 4:76:-23:20, 5:76:-23:20, -34:76:-22:1, -33:76:-22:9:8,
  -32:76:-22:9:8, -31:76:-22:9:8, -30:76:-22:9:8, -29:76:-22:9:8, -28:76:-22:9:8,
  -27:76:-22:9:8, -26:76:-22:9:8, -25:76:-22:9:8, -24:76:-22:1, -4:76:-22:1, 6:76:-22:1,
  -35:76:-21:20, -34:76:-21:9:8, -33:76:-21:9:8, -32:76:-21:9:8, -31:76:-21:9:8, -30:76:-21:9:8,
  -29:76:-21:9:8, -28:76:-21:9:8, -27:76:-21:9:8, -26:76:-21:9:8, -25:76:-21:9:8,
  -24:76:-21:9:8, -23:76:-21:20, -5:76:-21:20, -1:76:-21:18, 7:76:-21:20, -35:76:-20:20,
  -34:76:-20:9:8, -33:76:-20:9:8, -32:76:-20:9:8, -31:76:-20:9:8, -30:76:-20:9:8,
  -29:76:-20:9:8, -28:76:-20:9:8, -27:76:-20:9:8, -26:76:-20:9:8, -25:76:-20:9:8,
  -24:76:-20:9:8, -23:76:-20:20, -5:76:-20:20, -2:76:-20:18, -1:76:-20:18, 0:76:-20:18,
  3:76:-20:18, 7:76:-20:20, -35:76:-19:20, -34:76:-19:9:8, -33:76:-19:9:8, -32:76:-19:9:8,
  -31:76:-19:9:8, -30:76:-19:9:8, -29:76:-19:9:8, -28:76:-19:9:8, -27:76:-19:9:8,
  -26:76:-19:9:8, -25:76:-19:9:8, -24:76:-19:9:8, -23:76:-19:1, -5:76:-19:1, -1:76:-19:18,
  2:76:-19:17:8, 3:76:-19:18, 4:76:-19:18, 7:76:-19:20, -35:76:-18:20, -34:76:-18:9:8,
  -33:76:-18:9:8, -32:76:-18:9:8, -31:76:-18:9:8, -30:76:-18:9:8, -29:76:-18:9:8,
  -28:76:-18:9:8, -27:76:-18:9:8, -26:76:-18:9:8, -25:76:-18:9:8, -24:76:-18:9:8,
  -23:76:-18:107:7, 1:76:-18:17:8, 3:76:-18:18, 7:76:-18:20, -35:76:-17:1, -34:76:-17:9:8,
  -33:76:-17:9:8, -32:76:-17:9:8, -31:76:-17:9:8, -30:76:-17:9:8, -29:76:-17:9:8,
  -28:76:-17:9:8, -27:76:-17:9:8, -26:76:-17:9:8, -25:76:-17:9:8, -24:76:-17:9:8,
  -23:76:-17:107:7, -1:76:-17:17:4, 0:76:-17:17:4, 1:76:-17:17, 7:76:-17:1, -35:76:-16:20,
  -34:76:-16:9:8, -33:76:-16:9:8, -32:76:-16:9:8, -31:76:-16:9:8, -30:76:-16:9:8,
  -29:76:-16:9:8, -28:76:-16:9:8, -27:76:-16:9:8, -26:76:-16:9:8, -25:76:-16:9:8,
  -24:76:-16:9:8, -23:76:-16:107:7, -2:76:-16:18, -1:76:-16:18, 0:76:-16:18, 1:76:-16:18,
  2:76:-16:18, 7:76:-16:20, -35:76:-15:20, -34:76:-15:9:8, -33:76:-15:9:8, -32:76:-15:9:8,
  -31:76:-15:9:8, -30:76:-15:9:8, -29:76:-15:9:8, -28:76:-15:9:8, -27:76:-15:9:8,
