Blocks: '[72:58:80:20, -2:70:-6:1:1, -1:70:-6:3:1, -3:70:-5:1:1, -2:70:-5:1:1, -1:70:-5:3:1,
  0:70:-5:172, 1:70:-5:172, -3:70:-4:1:1, -2:70:-4:1:1, -1:70:-4:172, 0:70:-4:172,
  1:70:-4:172, 2:70:-4:172, 3:70:-4:172, -3:70:-3:1:1, -2:70:-3:172, -1:70:-3:172,
  19:84:36:172, 20:84:36:172, -20:84:37:16, -19:84:37:172, -18:84:37:172, -17:84:37:172,
  -16:84:37:172, -15:84:37:172, -14:84:37:172, -13:84:37:172, -1:84:37:172, 0:84:37:172,
  14:84:37:16, 15:84:37:172, 16:84:37:172, 17:84:37:172, 18:84:37:172, 19:84:37:172,
  20:84:37:172, 21:84:37:172, -21:84:38:1:5, -20:84:38:172, -19:84:38:172, -18:84:38:172,
  -17:84:38:172, -16:84:38:172, -15:84:38:172, -14:84:38:172, -13:84:38:172, -2:84:38:172,
  -1:84:38:172, 0:84:38:172, 1:84:38:1:5, 2:84:38:172, 13:84:38:1:5, 14:84:38:172,
  15:84:38:172, 16:84:38:172, 17:84:38:172, 18:84:38:172, 19:84:38:172, 20:84:38:172,
  21:84:38:172, -21:84:39:172, -20:84:39:172, -19:84:39:172, -18:84:39:1:5, -17:84:39:172,
  -16:84:39:172, -15:84:39:172, -14:84:39:172, -3:84:39:172, -2:84:39:172, -1:84:39:172,
  0:84:39:172, 1:84:39:172, 2:84:39:172, 3:84:39:172, 13:84:39:172, 14:84:39:172,
  15:84:39:172, 16:84:39:1:5, 17:84:39:172, 18:84:39:172, 19:84:39:172, 20:84:39:172,
  -20:84:40:172, -19:84:40:1:5, -18:84:40:1:5, -17:84:40:172, -16:84:40:172, -15:84:40:172,
  -14:84:40:172, -3:84:40:16, -2:84:40:172, -1:84:40:172, 0:84:40:172, 1:84:40:172,
  2:84:40:172, 3:84:40:172, 4:84:40:172, 14:84:40:172, 15:84:40:1:5, 16:84:40:1:5,
  17:84:40:172, 18:84:40:172, 19:84:40:172, 20:84:40:172, -19:84:41:172, -18:84:41:172,
  -17:84:41:172, -16:84:41:172, -15:84:41:1:5, -4:84:41:1:5, -3:84:41:172, -2:84:41:172,
  -1:84:41:172, 0:84:41:172, 1:84:41:172, 2:84:41:172, 3:84:41:172, 4:84:41:172, 15:84:41:172,
  16:84:41:172, 17:84:41:172, 18:84:41:172, 19:84:41:1:5, -19:84:42:172, -18:84:42:172,
  -17:84:42:172, -16:84:42:172, -15:84:42:172, -4:84:42:172, -3:84:42:172, -2:84:42:172,
  -1:84:42:1:5, 0:84:42:172, 1:84:42:172, 2:84:42:172, 3:84:42:172, 15:84:42:172,
  16:84:42:172, 17:84:42:172, 18:84:42:172, 19:84:42:172, -3:84:43:172, -2:84:43:1:5,
  -1:84:43:1:5, 0:84:43:172, 1:84:43:172, 2:84:43:172, 3:84:43:172, -2:84:44:172,
  -1:84:44:172, 0:84:44:172, 1:84:44:172, 2:84:44:1:5, -2:84:45:172, -1:84:45:172,
  0:84:45:172, 1:84:45:172, 2:84:45:172, -1:85:-46:172, 0:85:-46:172, -2:85:-45:172,
  -1:85:-45:172, 0:85:-45:172, 1:85:-45:172, 2:85:-45:172, -3:85:-44:172, -2:85:-44:172,
  -1:85:-44:172, 0:85:-44:172, 1:85:-44:1:5, 2:85:-44:172, 3:85:-44:172, -18:85:-43:172,
  -17:85:-43:172, -3:85:-43:172, -2:85:-43:172, -1:85:-43:172, 0:85:-43:179, 3:85:-43:1:5,
  16:85:-43:172, 17:85:-43:172, -19:85:-42:172, -18:85:-42:172, -17:85:-42:172, -16:85:-42:172,
  -15:85:-42:172, -4:85:-42:172, -3:85:-42:172, -2:85:-42:172, -1:85:-42:179, 0:85:-42:17:12,
  4:85:-42:172, 15:85:-42:172, 16:85:-42:172, 17:85:-42:172, 18:85:-42:172, 19:85:-42:172,
  -20:85:-41:172, -19:85:-41:172, -18:85:-41:172, -17:85:-41:172, -16:85:-41:1:5,
  -15:85:-41:172, -14:85:-41:172, -4:85:-41:172, -3:85:-41:172, -2:85:-41:172, -1:85:-41:179,
  3:85:-41:188, 4:85:-41:172, 14:85:-41:172, 15:85:-41:172, 16:85:-41:172, 17:85:-41:172,
  18:85:-41:1:5, 19:85:-41:172, 20:85:-41:172, -20:85:-40:172, -19:85:-40:172, -18:85:-40:172,
  -17:85:-40:179, -14:85:-40:1:5, -4:85:-40:172, -3:85:-40:172, -2:85:-40:179, -1:85:-40:179,
  0:85:-40:182, 4:85:-40:172, 14:85:-40:172, 15:85:-40:172, 16:85:-40:172, 17:85:-40:179,
  20:85:-40:1:5, -21:85:-39:172, -20:85:-39:172, -19:85:-39:172, -18:85:-39:179, -17:85:-39:17:12,
  -13:85:-39:172, -3:85:-39:172, -2:85:-39:179, -1:85:-39:179, 0:85:-39:182, 3:85:-39:1:5,
  13:85:-39:172, 14:85:-39:172, 15:85:-39:172, 16:85:-39:179, 17:85:-39:17:12, 21:85:-39:172,
  -21:85:-38:172, -20:85:-38:172, -19:85:-38:172, -18:85:-38:179, -14:85:-38:188,
  -13:85:-38:172, -3:85:-38:172, -2:85:-38:172, -1:85:-38:172, 2:85:-38:172, 3:85:-38:172,
  13:85:-38:172, 14:85:-38:172, 15:85:-38:172, 16:85:-38:179, 20:85:-38:188, 21:85:-38:172,
  -21:85:-37:172, -20:85:-37:172, -19:85:-37:179, -18:85:-37:179, -17:85:-37:182,
  -13:85:-37:172, -1:85:-37:172, 0:85:-37:172, 1:85:-37:172, 13:85:-37:172, 14:85:-37:172,
  15:85:-37:179, 16:85:-37:179, 17:85:-37:182, 21:85:-37:172, -20:85:-36:172, -19:85:-36:179,
  -18:85:-36:179, -17:85:-36:182, -14:85:-36:1:5, 14:85:-36:172, 15:85:-36:179, 16:85:-36:179,
  17:85:-36:182, 20:85:-36:1:5, -20:85:-35:172, -19:85:-35:172, -18:85:-35:172, -15:85:-35:172,
  -14:85:-35:172, 14:85:-35:172, 15:85:-35:172, 16:85:-35:172, 19:85:-35:172, 20:85:-35:172,
  -18:85:-34:172, -17:85:-34:172, -16:85:-34:172, 16:85:-34:172, 17:85:-34:172, 18:85:-34:172,
  -6:85:-29:126:9, -3:85:-29:126:9, 0:85:-29:126:9, 3:85:-29:126:9, 6:85:-29:126:9,
  -9:85:-28:126:9, -6:85:-28:126:9, -3:85:-28:126:9, 0:85:-28:126:9, 3:85:-28:126:9,
  6:85:-28:126:9, 9:85:-28:126:9, -9:85:-27:126:9, -6:85:-27:126:9, -5:85:-27:95:8,
  -4:85:-27:95:8, -3:85:-27:126:9, -2:85:-27:95:8, -1:85:-27:95:8, 0:85:-27:126:9,
  1:85:-27:95:8, 2:85:-27:95:8, 3:85:-27:126:9, 4:85:-27:95:8, 5:85:-27:95:8, 6:85:-27:126:9,
  9:85:-27:126:9, -13:85:-26:126:9, -9:85:-26:126:9, -8:85:-26:95:8, -7:85:-26:95:8,
  -6:85:-26:126:9, -5:85:-26:95:8, -4:85:-26:95:8, -2:85:-26:95:8, -1:85:-26:95:8,
  1:85:-26:95:8, 2:85:-26:95:8, 4:85:-26:95:8, 5:85:-26:95:8, 6:85:-26:126:9, 7:85:-26:95:8,
  8:85:-26:95:8, 9:85:-26:126:9, 13:85:-26:126:9, -13:85:-25:126:9, -11:85:-25:95:8,
  -10:85:-25:95:8, -8:85:-25:95:8, -7:85:-25:95:8, -5:85:-25:95:8, -4:85:-25:95:8,
  -2:85:-25:95:8, -1:85:-25:95:8, 1:85:-25:95:8, 2:85:-25:95:8, 4:85:-25:95:8, 5:85:-25:95:8,
  7:85:-25:95:8, 8:85:-25:95:8, 9:85:-25:126:9, 10:85:-25:95:8, 11:85:-25:95:8, 13:85:-25:126:9,
  -16:85:-24:126:9, -13:85:-24:126:9, -12:85:-24:126:9, -11:85:-24:95:8, -10:85:-24:95:8,
  -8:85:-24:95:8, -7:85:-24:95:8, -5:85:-24:95:8, -4:85:-24:95:8, -3:85:-24:126:9,
  -2:85:-24:95:8, -1:85:-24:95:8, 0:85:-24:126:9, 1:85:-24:95:8, 2:85:-24:95:8, 3:85:-24:126:9,
  4:85:-24:95:8, 5:85:-24:95:8, 7:85:-24:95:8, 8:85:-24:95:8, 10:85:-24:95:8, 11:85:-24:95:8,
  12:85:-24:126:9, 13:85:-24:126:9, 16:85:-24:126:9, -19:85:-23:126:9, -16:85:-23:126:9,
  -14:85:-23:95:8, -13:85:-23:95:8, -11:85:-23:95:8, -10:85:-23:95:8, -9:85:-23:126:9,
  -8:85:-23:95:8, -7:85:-23:95:8, -6:85:-23:126:9, -5:85:-23:95:8, -3:85:-23:126:9,
  0:85:-23:126:9, 3:85:-23:126:9, 5:85:-23:95:8, 6:85:-23:126:9, 7:85:-23:95:8, 8:85:-23:95:8,
  10:85:-23:95:8, 11:85:-23:95:8, 13:85:-23:95:8, 14:85:-23:95:8, 15:85:-23:126:9,
  16:85:-23:126:9, 19:85:-23:126:9, -19:85:-22:126:9, -18:85:-22:126:9, -16:85:-22:126:9,
  -15:85:-22:126:9, -14:85:-22:95:8, -13:85:-22:95:8, -11:85:-22:95:8, -10:85:-22:95:8,
  -9:85:-22:126:9, -6:85:-22:126:9, -3:85:-22:126:9, 0:85:-22:126:9, 3:85:-22:126:9,
  6:85:-22:126:9, 9:85:-22:126:9, 10:85:-22:95:8, 11:85:-22:95:8, 13:85:-22:95:8,
  14:85:-22:95:8, 15:85:-22:126:9, 16:85:-22:126:9, 19:85:-22:126:9, -39:85:-21:172,
  -38:85:-21:172, -37:85:-21:172, -18:85:-21:126:9, -17:85:-21:95:8, -16:85:-21:95:8,
  -13:85:-21:95:8, -12:85:-21:126:9, -9:85:-21:126:9, -6:85:-21:126:9, 6:85:-21:126:9,
  9:85:-21:126:9, 11:85:-21:95:8, 12:85:-21:126:9, 13:85:-21:95:8, 16:85:-21:95:8,
  17:85:-21:95:8, 18:85:-21:126:9, 19:85:-21:126:9, 37:85:-21:172, 38:85:-21:172,
  39:85:-21:172, -41:85:-20:172, -40:85:-20:1:5, -38:85:-20:188, -36:85:-20:1:5, -35:85:-20:172,
  -19:85:-20:95:8, -18:85:-20:126:9, -16:85:-20:95:8, -14:85:-20:126:9, -12:85:-20:126:9,
  -9:85:-20:126:9, 9:85:-20:126:9, 12:85:-20:126:9, 14:85:-20:126:9, 15:85:-20:95:8,
  16:85:-20:95:8, 18:85:-20:126:9, 19:85:-20:95:8, 20:85:-20:95:8, 35:85:-20:172,
  36:85:-20:172, 37:85:-20:172, 38:85:-20:172, 39:85:-20:172, 40:85:-20:172, 41:85:-20:172,
  -42:85:-19:172, -41:85:-19:172, -35:85:-19:172, -23:85:-19:126:9, -22:85:-19:126:9,
  -21:85:-19:126:9, -20:85:-19:95:8, -19:85:-19:95:8, -18:85:-19:95:8, -16:85:-19:95:8,
  -14:85:-19:126:9, -12:85:-19:126:9, 12:85:-19:126:9, 14:85:-19:126:9, 16:85:-19:95:8,
  18:85:-19:95:8, 19:85:-19:95:8, 20:85:-19:95:8, 22:85:-19:126:9, 23:85:-19:126:9,
  35:85:-19:172, 36:85:-19:179, 37:85:-19:179, 38:85:-19:172, 39:85:-19:172, 40:85:-19:172,
  41:85:-19:172, 42:85:-19:172, -42:85:-18:172, -41:85:-18:1:5, -34:85:-18:172, -21:85:-18:126:9,
  -20:85:-18:126:9, -19:85:-18:95:8, -18:85:-18:95:8, -17:85:-18:126:9, -14:85:-18:126:9,
  14:85:-18:126:9, 17:85:-18:126:9, 18:85:-18:95:8, 19:85:-18:95:8, 20:85:-18:126:9,
  21:85:-18:126:9, 22:85:-18:126:9, 34:85:-18:172, 35:85:-18:172, 36:85:-18:179, 37:85:-18:179,
  38:85:-18:179, 39:85:-18:179, 40:85:-18:172, 41:85:-18:172, 42:85:-18:172, 43:85:-18:172,
  -43:85:-17:172, -42:85:-17:172, -41:85:-17:172, -40:85:-17:179, -39:85:-17:17:12,
  -37:85:-17:182, -36:85:-17:182, -34:85:-17:172, -21:85:-17:95:8, -18:85:-17:126:9,
  -17:85:-17:126:9, -16:85:-17:126:9, 16:85:-17:126:9, 17:85:-17:126:9, 18:85:-17:126:9,
  21:85:-17:95:8, 34:85:-17:172, 36:85:-17:182, 37:85:-17:182, 39:85:-17:17:12, 40:85:-17:179,
  41:85:-17:172, 42:85:-17:172, 43:85:-17:172, -43:85:-16:172, -42:85:-16:172, -41:85:-16:172,
  -40:85:-16:172, -39:85:-16:179, -38:85:-16:179, -37:85:-16:179, -36:85:-16:179,
  -35:85:-16:172, -34:85:-16:172, -24:85:-16:126:9, -23:85:-16:126:9, -22:85:-16:126:9,
  -21:85:-16:95:8, -20:85:-16:95:8, -19:85:-16:95:8, -17:85:-16:126:9, 17:85:-16:126:9,
  19:85:-16:95:8, 20:85:-16:95:8, 21:85:-16:95:8, 22:85:-16:126:9, 23:85:-16:126:9,
  24:85:-16:126:9, 34:85:-16:172, 41:85:-16:1:5, 42:85:-16:172, -42:85:-15:172, -41:85:-15:172,
  -40:85:-15:172, -39:85:-15:172, -38:85:-15:172, -37:85:-15:179, -36:85:-15:179,
  -35:85:-15:172, -23:85:-15:126:9, -22:85:-15:126:9, -20:85:-15:95:8, -2:85:-15:159:1,
  -1:85:-15:159:1, 0:85:-15:159:1, 1:85:-15:159:1, 2:85:-15:159:1, 20:85:-15:95:8,
  22:85:-15:126:9, 35:85:-15:172, 41:85:-15:172, 42:85:-15:172, -41:85:-14:172, -40:85:-14:172,
  -39:85:-14:172, -38:85:-14:172, -37:85:-14:172, -36:85:-14:172, -35:85:-14:172,
  -23:85:-14:95:8, -22:85:-14:95:8, -20:85:-14:126:9, -19:85:-14:126:9, -18:85:-14:126:9,
  -5:85:-14:159:1, -4:85:-14:159:1, -3:85:-14:159:1, -2:85:-14:159:1, -1:85:-14:159:1,
  0:85:-14:159:1, 1:85:-14:159:1, 2:85:-14:159:1, 3:85:-14:159:1, 4:85:-14:159:1,
  5:85:-14:159:1, 18:85:-14:126:9, 19:85:-14:126:9, 20:85:-14:126:9, 22:85:-14:95:8,
  23:85:-14:95:8, 35:85:-14:172, 36:85:-14:1:5, 38:85:-14:188, 40:85:-14:1:5, 41:85:-14:172,
  -39:85:-13:172, -38:85:-13:172, -37:85:-13:172, -26:85:-13:126:9, -25:85:-13:126:9,
  -24:85:-13:126:9, -23:85:-13:95:8, -22:85:-13:95:8, -21:85:-13:95:8, -7:85:-13:182,
  -6:85:-13:159:1, -5:85:-13:159:1, -4:85:-13:159:1, -3:85:-13:159:1, -2:85:-13:159:1,
  -1:85:-13:159:1, 0:85:-13:159:1, 1:85:-13:159:1, 2:85:-13:159:1, 3:85:-13:159:1,
  4:85:-13:159:1, 5:85:-13:159:1, 6:85:-13:182, 21:85:-13:95:8, 22:85:-13:95:8, 23:85:-13:95:8,
  24:85:-13:126:9, 25:85:-13:126:9, 26:85:-13:126:9, 37:85:-13:172, 38:85:-13:172,
  39:85:-13:172, -24:85:-12:126:9, -21:85:-12:126:9, -20:85:-12:126:9, -19:85:-12:126:9,
  -8:85:-12:182, -7:85:-12:182, -6:85:-12:159:1, -5:85:-12:172, -4:85:-12:159:1, -3:85:-12:159:1,
  -2:85:-12:159:1, -1:85:-12:159:1, 0:85:-12:159:1, 1:85:-12:159:1, 2:85:-12:159:1,
  3:85:-12:159:1, 4:85:-12:159:1, 5:85:-12:159:1, 6:85:-12:182, 9:85:-12:188, 19:85:-12:126:9,
  20:85:-12:126:9, 21:85:-12:126:9, 24:85:-12:126:9, -25:85:-11:95:8, -24:85:-11:95:8,
  -23:85:-11:95:8, -22:85:-11:95:8, -21:85:-11:95:8, -11:85:-11:188, -8:85:-11:182,
  -7:85:-11:159:1, -6:85:-11:1, -5:85:-11:172, -4:85:-11:172, -3:85:-11:159:1, -2:85:-11:179,
  -1:85:-11:179, 0:85:-11:159:1, 1:85:-11:179, 2:85:-11:159:1, 3:85:-11:159:1, 4:85:-11:159:1,
  5:85:-11:182, 6:85:-11:182, 21:85:-11:95:8, 22:85:-11:95:8, 23:85:-11:95:8, 24:85:-11:95:8,
  25:85:-11:95:8, -25:85:-10:95:8, -24:85:-10:95:8, -23:85:-10:95:8, -22:85:-10:95:8,
  -8:85:-10:182, -7:85:-10:172, -6:85:-10:1, -5:85:-10:56, -4:85:-10:172, -3:85:-10:179,
  -2:85:-10:159:1, -1:85:-10:159:1, 0:85:-10:159:1, 1:85:-10:159:1, 2:85:-10:179,
  3:85:-10:159:1, 4:85:-10:159:1, 5:85:-10:182, 22:85:-10:95:8, 23:85:-10:95:8, 24:85:-10:95:8,
  25:85:-10:95:8, -28:85:-9:126:9, -27:85:-9:126:9, -26:85:-9:126:9, -25:85:-9:126:9,
  -22:85:-9:126:9, -21:85:-9:126:9, -20:85:-9:126:9, -4:85:-9:172, -3:85:-9:172, -2:85:-9:172,
  -1:85:-9:159:1, 0:85:-9:159:1, 1:85:-9:159:1, 2:85:-9:159:1, 3:85:-9:159:1, 11:85:-9:182,
  12:85:-9:182, 20:85:-9:126:9, 21:85:-9:126:9, 22:85:-9:126:9, 23:85:-9:126:9, 26:85:-9:126:9,
  27:85:-9:126:9, 28:85:-9:126:9, -26:85:-8:95:8, -25:85:-8:95:8, -24:85:-8:95:8,
  -23:85:-8:95:8, -4:85:-8:172, -3:85:-8:172, -2:85:-8:172, -1:85:-8:159:1, 0:85:-8:159:1,
  1:85:-8:159:1, 2:85:-8:159:1, 3:85:-8:159:1, 10:85:-8:182, 11:85:-8:182, 12:85:-8:159:1,
  23:85:-8:95:8, 24:85:-8:95:8, 25:85:-8:95:8, 26:85:-8:95:8, -26:85:-7:95:8, -25:85:-7:95:8,
  -24:85:-7:95:8, -23:85:-7:95:8, -4:85:-7:1, -3:85:-7:172, -2:85:-7:172, -1:85:-7:159:1,
  0:85:-7:159:1, 1:85:-7:159:1, 2:85:-7:159:1, 3:85:-7:1:5, 10:85:-7:172, 11:85:-7:159:1,
  12:85:-7:159:1, 13:85:-7:159:1, 23:85:-7:95:8, 24:85:-7:95:8, 25:85:-7:95:8, 26:85:-7:95:8,
  -29:85:-6:126:9, -28:85:-6:126:9, -27:85:-6:126:9, -26:85:-6:126:9, -23:85:-6:126:9,
  -22:85:-6:126:9, -21:85:-6:126:9, -13:85:-6:182, -12:85:-6:182, -4:85:-6:1, -3:85:-6:172,
  -2:85:-6:172, -1:85:-6:159:1, 0:85:-6:159:1, 1:85:-6:159:1, 2:85:-6:159:1, 3:85:-6:1:5,
  4:85:-6:56, 10:85:-6:172, 11:85:-6:172, 12:85:-6:159:1, 13:85:-6:159:1, 21:85:-6:126:9,
  22:85:-6:126:9, 23:85:-6:126:9, 26:85:-6:126:9, 27:85:-6:126:9, 28:85:-6:126:9,
  29:85:-6:126:9, -27:85:-5:95:8, -26:85:-5:95:8, -25:85:-5:95:8, -24:85:-5:95:8,
  -23:85:-5:95:8, -14:85:-5:159:1, -13:85:-5:159:1, -12:85:-5:182, -11:85:-5:182,
  -10:85:-5:182, -4:85:-5:172, -3:85:-5:172, -2:85:-5:159:1, -1:85:-5:159:1, 0:85:-5:159:1,
  1:85:-5:159:1, 2:85:-5:159:1, 3:85:-5:172, 4:85:-5:1:5, 5:85:-5:125:1, 9:85:-5:126:1,
  10:85:-5:1, 11:85:-5:172, 12:85:-5:159:1, 13:85:-5:159:1, 14:85:-5:159:1, 23:85:-5:95:8,
  24:85:-5:95:8, 25:85:-5:95:8, 26:85:-5:95:8, 27:85:-5:95:8, -42:85:-4:172, -41:85:-4:172,
  -40:85:-4:172, -27:85:-4:95:8, -26:85:-4:95:8, -25:85:-4:95:8, -24:85:-4:95:8, -14:85:-4:159:1,
  -13:85:-4:159:1, -12:85:-4:159:1, -11:85:-4:159:1, -10:85:-4:182, -6:85:-4:172,
  -5:85:-4:172, -4:85:-4:172, -3:85:-4:159:1, -2:85:-4:159:1, -1:85:-4:159:1, 0:85:-4:159:1,
  1:85:-4:159:1, 2:85:-4:159:1, 3:85:-4:159:1, 4:85:-4:172, 5:85:-4:1:5, 6:85:-4:1:5,
  7:85:-4:1:5, 8:85:-4:17, 9:85:-4:1, 10:85:-4:1, 11:85:-4:159:1, 12:85:-4:159:1,
  13:85:-4:159:1, 14:85:-4:159:1, 24:85:-4:95:8, 25:85:-4:95:8, 26:85:-4:95:8, 27:85:-4:95:8,
  40:85:-4:172, 41:85:-4:172, 42:85:-4:172, -44:85:-3:172, -43:85:-3:1:5, -41:85:-3:188,
  -39:85:-3:1:5, -38:85:-3:172, -29:85:-3:126:9, -28:85:-3:126:9, -27:85:-3:126:9,
  -24:85:-3:126:9, -23:85:-3:126:9, -22:85:-3:126:9, -14:85:-3:159:1, -13:85:-3:159:1,
  -12:85:-3:159:1, -11:85:-3:159:1, -10:85:-3:159:1, -9:85:-3:159:1, -8:85:-3:1, -7:85:-3:1,
  -6:85:-3:172, -5:85:-3:159:1, -4:85:-3:159:1, -3:85:-3:159:1, -2:85:-3:159:1, -1:85:-3:159:1,
  0:85:-3:159:1, 1:85:-3:159:1, 2:85:-3:159:1, 3:85:-3:159:1, 4:85:-3:159:1, 5:85:-3:172,
  6:85:-3:172, 7:85:-3:172, 8:85:-3:172, 9:85:-3:172, 10:85:-3:172, 11:85:-3:179,
  12:85:-3:159:1, 13:85:-3:159:1, 14:85:-3:159:1, 22:85:-3:126:9, 23:85:-3:126:9,
  24:85:-3:126:9, 27:85:-3:126:9, 28:85:-3:126:9, 29:85:-3:126:9, 38:85:-3:172, 39:85:-3:172,
  40:85:-3:172, 41:85:-3:172, 42:85:-3:172, 43:85:-3:172, 44:85:-3:172, -45:85:-2:172,
  -44:85:-2:172, -38:85:-2:172, -27:85:-2:95:8, -26:85:-2:95:8, -25:85:-2:95:8, -24:85:-2:95:8,
  -15:85:-2:159:1, -14:85:-2:159:1, -13:85:-2:159:1, -12:85:-2:159:1, -11:85:-2:159:1,
  -10:85:-2:179, -9:85:-2:159:1, -8:85:-2:159:1, -7:85:-2:159:1, -6:85:-2:159:1, -5:85:-2:159:1,
  -4:85:-2:159:1, -3:85:-2:159:1, -2:85:-2:159:1, -1:85:-2:159:1, 0:85:-2:159:1, 1:85:-2:159:1,
  2:85:-2:159:1, 3:85:-2:159:1, 4:85:-2:159:1, 5:85:-2:159:1, 6:85:-2:159:1, 7:85:-2:159:1,
  8:85:-2:159:1, 9:85:-2:159:1, 10:85:-2:159:1, 11:85:-2:159:1, 12:85:-2:179, 13:85:-2:159:1,
  14:85:-2:159:1, 15:85:-2:159:1, 24:85:-2:95:8, 25:85:-2:95:8, 26:85:-2:95:8, 27:85:-2:95:8,
  38:85:-2:172, 39:85:-2:179, 40:85:-2:179, 41:85:-2:172, 42:85:-2:172, 43:85:-2:172,
  44:85:-2:172, 45:85:-2:172, -45:85:-1:172, -44:85:-1:1:5, -37:85:-1:172, -27:85:-1:95:8,
  -26:85:-1:95:8, -25:85:-1:95:8, -24:85:-1:95:8, -15:85:-1:159:1, -14:85:-1:159:1,
  -13:85:-1:159:1, -12:85:-1:159:1, -11:85:-1:179, -10:85:-1:159:1, -9:85:-1:159:1,
  -8:85:-1:159:1, -7:85:-1:159:1, -6:85:-1:159:1, -5:85:-1:159:1, -4:85:-1:159:1,
  -3:85:-1:159:1, -2:85:-1:159:1, -1:85:-1:159:1, 0:85:-1:159:1, 1:85:-1:159:1, 2:85:-1:159:1,
  3:85:-1:159:1, 4:85:-1:159:1, 5:85:-1:159:1, 6:85:-1:159:1, 7:85:-1:159:1, 8:85:-1:159:1,
  9:85:-1:159:1, 10:85:-1:159:1, 11:85:-1:159:1, 12:85:-1:181, 13:85:-1:159:1, 14:85:-1:159:1,
  15:85:-1:159:1, 24:85:-1:95:8, 25:85:-1:95:8, 26:85:-1:95:8, 27:85:-1:95:8, 37:85:-1:172,
  38:85:-1:172, 39:85:-1:179, 40:85:-1:179, 41:85:-1:179, 42:85:-1:179, 43:85:-1:172,
  44:85:-1:172, 45:85:-1:172, 46:85:-1:172, -46:85:0:172, -45:85:0:172, -44:85:0:172,
  -43:85:0:179, -42:85:0:17:12, -40:85:0:182, -39:85:0:182, -37:85:0:172, -29:85:0:126:9,
  -28:85:0:126:9, -27:85:0:126:9, -24:85:0:126:9, -23:85:0:126:9, -22:85:0:126:9,
  -15:85:0:159:1, -14:85:0:159:1, -13:85:0:159:1, -12:85:0:159:1, -11:85:0:159:1,
  -10:85:0:159:1, -9:85:0:159:1, -8:85:0:159:1, -7:85:0:159:1, -6:85:0:159:1, -5:85:0:159:1,
  -4:85:0:159:1, -3:85:0:159:1, -2:85:0:159:1, -1:85:0:159:1, 0:85:0:159:1, 1:85:0:159:1,
  2:85:0:159:1, 3:85:0:159:1, 4:85:0:159:1, 5:85:0:159:1, 6:85:0:159:1, 7:85:0:159:1,
  8:85:0:159:1, 9:85:0:159:1, 10:85:0:159:1, 11:85:0:159:1, 12:85:0:159:1, 13:85:0:159:1,
  14:85:0:159:1, 15:85:0:159:1, 22:85:0:126:9, 23:85:0:126:9, 24:85:0:126:9, 27:85:0:126:9,
  28:85:0:126:9, 29:85:0:126:9, 37:85:0:172, 39:85:0:182, 40:85:0:182, 42:85:0:17:12,
  43:85:0:179, 44:85:0:172, 45:85:0:172, 46:85:0:172, -46:85:1:172, -45:85:1:172,
  -44:85:1:172, -43:85:1:172, -42:85:1:179, -41:85:1:179, -40:85:1:179, -39:85:1:179,
  -38:85:1:172, -37:85:1:172, -27:85:1:95:8, -26:85:1:95:8, -25:85:1:95:8, -24:85:1:95:8,
  -15:85:1:159:1, -14:85:1:159:1, -13:85:1:159:1, -12:85:1:179, -11:85:1:159:1, -10:85:1:159:1,
  -9:85:1:159:1, -8:85:1:159:1, -7:85:1:159:1, -6:85:1:159:1, -5:85:1:159:1, -4:85:1:159:1,
  -3:85:1:159:1, -2:85:1:159:1, -1:85:1:159:1, 0:85:1:159:1, 1:85:1:159:1, 2:85:1:159:1,
  3:85:1:159:1, 4:85:1:159:1, 5:85:1:159:1, 6:85:1:159:1, 7:85:1:159:1, 8:85:1:159:1,
  9:85:1:159:1, 10:85:1:159:1, 11:85:1:179, 12:85:1:159:1, 13:85:1:159:1, 14:85:1:159:1,
  15:85:1:159:1, 24:85:1:95:8, 25:85:1:95:8, 26:85:1:95:8, 27:85:1:95:8, 37:85:1:172,
  44:85:1:1:5, 45:85:1:172, -45:85:2:172, -44:85:2:172, -43:85:2:172, -42:85:2:172,
  -41:85:2:172, -40:85:2:179, -39:85:2:179, -38:85:2:172, -27:85:2:95:8, -26:85:2:95:8,
  -25:85:2:95:8, -24:85:2:95:8, -15:85:2:159:1, -14:85:2:159:1, -13:85:2:159:1, -12:85:2:179,
  -11:85:2:159:1, -10:85:2:159:1, -9:85:2:159:1, -8:85:2:159:1, -7:85:2:159:1, -6:85:2:159:1,
  -5:85:2:159:1, -4:85:2:159:1, -3:85:2:159:1, -2:85:2:159:1, -1:85:2:159:1, 0:85:2:159:1,
  1:85:2:159:1, 2:85:2:159:1, 3:85:2:159:1, 4:85:2:159:1, 5:85:2:159:1, 6:85:2:159:1,
  7:85:2:159:1, 8:85:2:159:1, 9:85:2:159:1, 10:85:2:159:1, 11:85:2:179, 12:85:2:159:1,
  13:85:2:159:1, 14:85:2:159:1, 15:85:2:159:1, 24:85:2:95:8, 25:85:2:95:8, 26:85:2:95:8,
  27:85:2:95:8, 38:85:2:172, 44:85:2:172, 45:85:2:172, -44:85:3:172, -43:85:3:172,
  -42:85:3:172, -41:85:3:172, -40:85:3:172, -39:85:3:172, -38:85:3:172, -29:85:3:126:9,
  -28:85:3:126:9, -27:85:3:126:9, -24:85:3:126:9, -23:85:3:126:9, -22:85:3:126:9,
