Blocks: '[-7:45:-7:1, 7:45:-7:1, -7:45:7:1, -7:46:-7:1, -6:46:-7:1, 7:46:-7:1, -7:46:-6:1,
  -20:58:24:3, -19:58:24:3, -18:58:24:1, 18:58:24:1, 19:58:24:3, 20:58:24:3, 21:58:24:3,
  22:58:24:3, 23:58:24:3, 24:58:24:1, -23:58:25:1, -22:58:25:1, -21:58:25:1, -20:58:25:1,
  -19:58:25:1, -2:58:25:1, -1:58:25:1, 0:58:25:1, 1:58:25:1, 2:58:25:1, 19:58:25:1,
  20:58:25:1, 21:58:25:1, 22:58:25:1, 23:58:25:1, -3:58:26:1, -2:58:26:3, -1:58:26:3,
  0:58:26:3, 1:58:26:3, 2:58:26:3, 3:58:26:1, -4:58:27:1, -3:58:27:3, -2:58:27:3,
  -1:58:27:3, 0:58:27:3, 1:58:27:3, 2:58:27:3, 3:58:27:3, 4:58:27:1, -4:58:28:1, -3:58:28:3,
  -2:58:28:3, -1:58:28:3, 0:58:28:3, 1:58:28:3, 2:58:28:3, 3:58:28:3, 4:58:28:1, -4:58:29:1,
  -3:58:29:3, -2:58:29:3, -1:58:29:3, 0:58:29:3, 1:58:29:3, 2:58:29:3, 3:58:29:3,
  4:58:29:1, -4:58:30:1, -3:58:30:3, -2:58:30:3, -1:58:30:3, 0:58:30:3, 1:58:30:3,
  2:58:30:3, 3:58:30:3, 4:58:30:1, -4:58:31:1, -3:58:31:3, -2:58:31:3, -1:58:31:3,
  0:58:31:3, 1:58:31:3, 2:58:31:3, 3:58:31:3, 4:58:31:1, -3:58:32:1, -2:58:32:3, -1:58:32:3,
  0:58:32:3, 1:58:32:3, 2:58:32:3, 3:58:32:1, -2:58:33:1, -1:58:33:1, 0:58:33:1, 1:58:33:1,
  2:58:33:1, -2:59:-40:5, -1:59:-40:5, 0:59:-40:5, 1:59:-40:5, 2:59:-40:5, -2:59:-39:5,
  -1:59:-39:5, 0:59:-39:5, 1:59:-39:5, 2:59:-39:5, -2:59:-38:5, -1:59:-38:5, 0:59:-38:5,
  1:59:-38:5, 2:59:-38:5, -2:59:-37:5, -1:59:-37:5, 0:59:-37:5, 1:59:-37:5, 2:59:-37:5,
  -2:59:-36:5, -1:59:-36:5, 0:59:-36:5, 1:59:-36:5, 2:59:-36:5, -2:59:-35:1, -1:59:-35:1,
  0:59:-35:1, 1:59:-35:1, 2:59:-35:1, -3:59:-34:1, -2:59:-34:2, -1:59:-34:2, 0:59:-34:2,
  1:59:-34:2, 2:59:-34:2, 3:59:-34:1, -4:59:-33:1, -3:59:-33:2, -2:59:-33:2, -1:59:-33:2,
  0:59:-33:2, 1:59:-33:2, 2:59:-33:2, 3:59:-33:2, 4:59:-33:1, -4:59:-32:1, -3:59:-32:2,
  -2:59:-32:2, -1:59:-32:2, 0:59:-32:2, 1:59:-32:2, 2:59:-32:2, 3:59:-32:2, 4:59:-32:1,
  -4:59:-31:1, -3:59:-31:2, -2:59:-31:2, -1:59:-31:2, 0:59:-31:2, 1:59:-31:2, 2:59:-31:2,
  3:59:-31:2, 4:59:-31:1, -4:59:-30:1, -3:59:-30:2, -2:59:-30:2, -1:59:-30:2, 0:59:-30:2,
  1:59:-30:2, 2:59:-30:2, 3:59:-30:2, 4:59:-30:1, -28:59:-29:5, -27:59:-29:5, -26:59:-29:5,
  -25:59:-29:5, -24:59:-29:5, -4:59:-29:1, -3:59:-29:2, -2:59:-29:3, -1:59:-29:2,
  0:59:-29:2, 1:59:-29:2, 2:59:-29:3, 3:59:-29:2, 4:59:-29:1, 24:59:-29:5, 25:59:-29:5,
  26:59:-29:5, 27:59:-29:5, 28:59:-29:5, -29:59:-28:5, -28:59:-28:5, -27:59:-28:5,
  -26:59:-28:5, -25:59:-28:5, -24:59:-28:5, -3:59:-28:1, -2:59:-28:2, -1:59:-28:2,
  0:59:-28:2, 1:59:-28:2, 2:59:-28:2, 3:59:-28:1, 24:59:-28:5, 25:59:-28:5, 26:59:-28:5,
  27:59:-28:5, 28:59:-28:5, 29:59:-28:5, -29:59:-27:5, -28:59:-27:5, -27:59:-27:5,
  -26:59:-27:5, -25:59:-27:5, -24:59:-27:5, -2:59:-27:1, -1:59:-27:1, 0:59:-27:1,
  1:59:-27:1, 2:59:-27:1, 24:59:-27:5, 25:59:-27:5, 26:59:-27:5, 27:59:-27:5, 28:59:-27:5,
  29:59:-27:5, -29:59:-26:5, -28:59:-26:5, -27:59:-26:5, -26:59:-26:5, -25:59:-26:5,
  -24:59:-26:5, -23:59:-26:17:8, 23:59:-26:17:8, 24:59:-26:5, 25:59:-26:5, 26:59:-26:5,
  27:59:-26:5, 28:59:-26:5, 29:59:-26:5, -29:59:-25:5, -28:59:-25:5, -27:59:-25:5,
  -26:59:-25:5, -25:59:-25:5, -24:59:-25:17:4, -23:59:-25:1, -22:59:-25:1, -21:59:-25:1,
  -20:59:-25:1, -19:59:-25:1, 19:59:-25:1, 20:59:-25:1, 21:59:-25:1, 22:59:-25:1,
  23:59:-25:1, 24:59:-25:17:4, 25:59:-25:5, 26:59:-25:5, 27:59:-25:5, 28:59:-25:5,
  29:59:-25:5, -29:59:-24:5, -28:59:-24:5, -27:59:-24:5, -26:59:-24:5, -25:59:-24:17:8,
  -24:59:-24:1, -23:59:-24:2, -22:59:-24:2, -21:59:-24:2, -20:59:-24:2, -19:59:-24:2,
  -18:59:-24:1, 18:59:-24:1, 19:59:-24:2, 20:59:-24:2, 21:59:-24:2, 22:59:-24:2, 23:59:-24:2,
  24:59:-24:1, 25:59:-24:17:8, 26:59:-24:5, 27:59:-24:5, 28:59:-24:5, 29:59:-24:5,
  -26:59:-23:17:4, -25:59:-23:1, -24:59:-23:2, -23:59:-23:2, -22:59:-23:2, -21:59:-23:2,
  -20:59:-23:2, -19:59:-23:3, -18:59:-23:2, -17:59:-23:1, 17:59:-23:1, 18:59:-23:2,
  19:59:-23:3, 20:59:-23:2, 21:59:-23:2, 22:59:-23:2, 23:59:-23:2, 24:59:-23:2, 25:59:-23:1,
  26:59:-23:17:4, -25:59:-22:1, -24:59:-22:2, -23:59:-22:2, -22:59:-22:2, -21:59:-22:2,
  -20:59:-22:2, -19:59:-22:2, -18:59:-22:2, -17:59:-22:1, 17:59:-22:1, 18:59:-22:2,
  19:59:-22:2, 20:59:-22:2, 21:59:-22:2, 22:59:-22:2, 23:59:-22:2, 24:59:-22:2, 25:59:-22:1,
  -25:59:-21:1, -24:59:-21:2, -23:59:-21:2, -22:59:-21:2, -21:59:-21:2, -20:59:-21:2,
  -19:59:-21:2, -18:59:-21:2, -17:59:-21:1, 17:59:-21:1, 18:59:-21:2, 19:59:-21:2,
  20:59:-21:2, 21:59:-21:2, 22:59:-21:2, 23:59:-21:2, 24:59:-21:2, 25:59:-21:1, -25:59:-20:1,
  -24:59:-20:2, -23:59:-20:2, -22:59:-20:2, -21:59:-20:2, -20:59:-20:2, -19:59:-20:2,
  -18:59:-20:2, -17:59:-20:1, 17:59:-20:1, 18:59:-20:2, 19:59:-20:2, 20:59:-20:2,
  21:59:-20:2, 22:59:-20:2, 23:59:-20:2, 24:59:-20:2, 25:59:-20:1, -25:59:-19:1, -24:59:-19:2,
  -23:59:-19:3, -22:59:-19:2, -21:59:-19:2, -20:59:-19:2, -19:59:-19:2, -18:59:-19:2,
  -17:59:-19:1, 17:59:-19:1, 18:59:-19:2, 19:59:-19:2, 20:59:-19:2, 21:59:-19:2, 22:59:-19:2,
  23:59:-19:3, 24:59:-19:2, 25:59:-19:1, -24:59:-18:1, -23:59:-18:2, -22:59:-18:2,
  -21:59:-18:2, -20:59:-18:2, -19:59:-18:2, -18:59:-18:1, 18:59:-18:1, 19:59:-18:2,
  20:59:-18:2, 21:59:-18:2, 22:59:-18:2, 23:59:-18:2, 24:59:-18:1, -23:59:-17:1, -22:59:-17:1,
  -21:59:-17:1, -20:59:-17:1, -19:59:-17:1, 19:59:-17:1, 20:59:-17:1, 21:59:-17:1,
  22:59:-17:1, 23:59:-17:1, -8:59:-9:98, -7:59:-9:98, -6:59:-9:98, -1:59:-9:98, 0:59:-9:98,
  1:59:-9:98, 6:59:-9:98, 7:59:-9:98, 8:59:-9:98, -9:59:-8:98, -7:59:-8:65:2, -5:59:-8:98,
  0:59:-8:44:13, 5:59:-8:98, 9:59:-8:98, -9:59:-7:98, -7:59:-7:17:1, -5:59:-7:98,
  5:59:-7:98, 7:59:-7:17:1, 8:59:-7:65:5, 9:59:-7:98, -9:59:-6:98, -5:59:-6:98, 5:59:-6:98,
  9:59:-6:98, -8:59:-5:98, -7:59:-5:98, -6:59:-5:98, 6:59:-5:98, 7:59:-5:98, 8:59:-5:98,
  -31:59:-4:1, -30:59:-4:1, -29:59:-4:1, -28:59:-4:1, -27:59:-4:1, 0:59:-4:44:13,
  26:59:-4:1, 27:59:-4:1, 28:59:-4:1, 29:59:-4:1, 30:59:-4:1, -32:59:-3:1, -31:59:-3:2,
  -30:59:-3:2, -29:59:-3:2, -28:59:-3:2, -27:59:-3:2, -26:59:-3:1, -2:59:-3:98, -1:59:-3:98,
  0:59:-3:98, 1:59:-3:98, 2:59:-3:98, 25:59:-3:1, 26:59:-3:2, 27:59:-3:2, 28:59:-3:2,
  29:59:-3:2, 30:59:-3:2, 31:59:-3:1, -38:59:-2:5, -37:59:-2:5, -36:59:-2:5, -35:59:-2:5,
  -34:59:-2:5, -33:59:-2:1, -32:59:-2:2, -31:59:-2:2, -30:59:-2:2, -29:59:-2:3, -28:59:-2:2,
  -27:59:-2:2, -26:59:-2:2, -25:59:-2:1, -3:59:-2:98, -2:59:-2:5, -1:59:-2:5, 0:59:-2:5,
  1:59:-2:5, 2:59:-2:5, 3:59:-2:98, 24:59:-2:1, 25:59:-2:2, 26:59:-2:2, 27:59:-2:2,
  28:59:-2:2, 29:59:-2:3, 30:59:-2:2, 31:59:-2:2, 32:59:-2:1, 33:59:-2:5, 34:59:-2:5,
  35:59:-2:5, 36:59:-2:5, 37:59:-2:5, -38:59:-1:5, -37:59:-1:5, -36:59:-1:5, -35:59:-1:5,
  -34:59:-1:5, -33:59:-1:1, -32:59:-1:2, -31:59:-1:2, -30:59:-1:2, -29:59:-1:2, -28:59:-1:2,
  -27:59:-1:2, -26:59:-1:2, -25:59:-1:1, -9:59:-1:98, -3:59:-1:98, -2:59:-1:5, -1:59:-1:5,
  0:59:-1:5, 1:59:-1:5, 2:59:-1:5, 3:59:-1:98, 9:59:-1:98, 24:59:-1:1, 25:59:-1:2,
  26:59:-1:2, 27:59:-1:2, 28:59:-1:2, 29:59:-1:2, 30:59:-1:2, 31:59:-1:2, 32:59:-1:1,
  33:59:-1:5, 34:59:-1:5, 35:59:-1:5, 36:59:-1:5, 37:59:-1:5, -38:59:0:5, -37:59:0:5,
  -36:59:0:5, -35:59:0:5, -34:59:0:5, -33:59:0:1, -32:59:0:2, -31:59:0:2, -30:59:0:2,
  -29:59:0:2, -28:59:0:2, -27:59:0:2, -26:59:0:2, -25:59:0:1, -9:59:0:98, -8:59:0:44:13,
  -4:59:0:44:13, -3:59:0:98, -2:59:0:5, -1:59:0:5, 0:59:0:17:1, 1:59:0:5, 2:59:0:5,
  3:59:0:98, 4:59:0:44:13, 8:59:0:44:13, 9:59:0:98, 24:59:0:1, 25:59:0:2, 26:59:0:2,
  27:59:0:2, 28:59:0:2, 29:59:0:2, 30:59:0:2, 31:59:0:2, 32:59:0:1, 33:59:0:5, 34:59:0:5,
  35:59:0:5, 36:59:0:5, 37:59:0:5, -38:59:1:5, -37:59:1:5, -36:59:1:5, -35:59:1:5,
  -34:59:1:5, -33:59:1:1, -32:59:1:2, -31:59:1:2, -30:59:1:2, -29:59:1:2, -28:59:1:2,
  -27:59:1:2, -26:59:1:2, -25:59:1:1, -9:59:1:98, -3:59:1:98, -2:59:1:5, -1:59:1:5,
  0:59:1:5, 1:59:1:5, 2:59:1:5, 3:59:1:98, 9:59:1:98, 24:59:1:1, 25:59:1:2, 26:59:1:2,
  27:59:1:2, 28:59:1:2, 29:59:1:2, 30:59:1:2, 31:59:1:2, 32:59:1:1, 33:59:1:5, 34:59:1:5,
  35:59:1:5, 36:59:1:5, 37:59:1:5, -38:59:2:5, -37:59:2:5, -36:59:2:5, -35:59:2:5,
  -34:59:2:5, -33:59:2:1, -32:59:2:2, -31:59:2:2, -30:59:2:2, -29:59:2:3, -28:59:2:2,
  -27:59:2:2, -26:59:2:2, -25:59:2:1, -3:59:2:98, -2:59:2:5, -1:59:2:5, 0:59:2:5,
  1:59:2:5, 2:59:2:5, 3:59:2:98, 24:59:2:1, 25:59:2:2, 26:59:2:2, 27:59:2:2, 28:59:2:2,
  29:59:2:3, 30:59:2:2, 31:59:2:2, 32:59:2:1, 33:59:2:5, 34:59:2:5, 35:59:2:5, 36:59:2:5,
  37:59:2:5, -32:59:3:1, -31:59:3:2, -30:59:3:2, -29:59:3:2, -28:59:3:2, -27:59:3:2,
  -26:59:3:1, -2:59:3:98, -1:59:3:98, 0:59:3:98, 1:59:3:98, 2:59:3:98, 25:59:3:1,
  26:59:3:2, 27:59:3:2, 28:59:3:2, 29:59:3:2, 30:59:3:2, 31:59:3:1, -31:59:4:1, -30:59:4:1,
  -29:59:4:1, -28:59:4:1, -27:59:4:1, 0:59:4:44:13, 26:59:4:1, 27:59:4:1, 28:59:4:1,
  29:59:4:1, 30:59:4:1, -8:59:5:98, -7:59:5:98, -6:59:5:98, 6:59:5:98, 7:59:5:98,
  8:59:5:98, -9:59:6:98, -5:59:6:98, 5:59:6:98, 9:59:6:98, -9:59:7:98, -8:59:7:65:4,
  -7:59:7:17:1, -5:59:7:98, 5:59:7:98, 7:59:7:17:1, 9:59:7:98, -9:59:8:98, -5:59:8:98,
  0:59:8:44:13, 5:59:8:98, 7:59:8:65:3, 9:59:8:98, -8:59:9:98, -7:59:9:98, -6:59:9:98,
  -1:59:9:98, 0:59:9:98, 1:59:9:98, 6:59:9:98, 7:59:9:98, 8:59:9:98, -23:59:17:1,
  -22:59:17:1, -21:59:17:1, -20:59:17:1, -19:59:17:1, 19:59:17:1, 20:59:17:1, 21:59:17:1,
  22:59:17:1, 23:59:17:1, -24:59:18:1, -23:59:18:2, -22:59:18:2, -21:59:18:2, -20:59:18:2,
  -19:59:18:2, -18:59:18:1, 18:59:18:1, 19:59:18:2, 20:59:18:2, 21:59:18:2, 22:59:18:2,
  23:59:18:2, 24:59:18:1, -25:59:19:1, -24:59:19:2, -23:59:19:3, -22:59:19:2, -21:59:19:2,
  -20:59:19:2, -19:59:19:2, -18:59:19:2, -17:59:19:1, 17:59:19:1, 18:59:19:2, 19:59:19:2,
  20:59:19:2, 21:59:19:2, 22:59:19:2, 23:59:19:3, 24:59:19:2, 25:59:19:1, -25:59:20:1,
  -24:59:20:2, -23:59:20:2, -22:59:20:2, -21:59:20:2, -20:59:20:2, -19:59:20:2, -18:59:20:2,
  -17:59:20:1, 17:59:20:1, 18:59:20:2, 19:59:20:2, 20:59:20:2, 21:59:20:2, 22:59:20:2,
  23:59:20:2, 24:59:20:2, 25:59:20:1, -25:59:21:1, -24:59:21:2, -23:59:21:2, -22:59:21:2,
  -21:59:21:2, -20:59:21:2, -19:59:21:2, -18:59:21:2, -17:59:21:1, 17:59:21:1, 18:59:21:2,
  19:59:21:2, 20:59:21:2, 21:59:21:2, 22:59:21:2, 23:59:21:2, 24:59:21:2, 25:59:21:1,
  -25:59:22:1, -24:59:22:2, -23:59:22:2, -22:59:22:2, -21:59:22:2, -20:59:22:2, -19:59:22:2,
  -18:59:22:2, -17:59:22:1, 17:59:22:1, 18:59:22:2, 19:59:22:2, 20:59:22:2, 21:59:22:2,
  22:59:22:2, 23:59:22:2, 24:59:22:2, 25:59:22:1, -26:59:23:17:4, -25:59:23:1, -24:59:23:2,
  -23:59:23:2, -22:59:23:2, -21:59:23:2, -20:59:23:2, -19:59:23:3, -18:59:23:2, -17:59:23:1,
  17:59:23:1, 18:59:23:2, 19:59:23:3, 20:59:23:2, 21:59:23:2, 22:59:23:2, 23:59:23:2,
  24:59:23:2, 25:59:23:1, 26:59:23:17:4, -29:59:24:5, -28:59:24:5, -27:59:24:5, -26:59:24:5,
  -25:59:24:17:8, -24:59:24:1, -23:59:24:2, -22:59:24:2, -21:59:24:2, -20:59:24:2,
  -19:59:24:2, -18:59:24:1, 18:59:24:1, 19:59:24:2, 20:59:24:2, 21:59:24:2, 22:59:24:2,
  23:59:24:2, 24:59:24:1, 25:59:24:17:8, 26:59:24:5, 27:59:24:5, 28:59:24:5, 29:59:24:5,
  -29:59:25:5, -28:59:25:5, -27:59:25:5, -26:59:25:5, -25:59:25:5, -24:59:25:17:4,
  -23:59:25:1, -22:59:25:1, -21:59:25:1, -20:59:25:1, -19:59:25:1, -2:59:25:1, -1:59:25:1,
  0:59:25:1, 1:59:25:1, 2:59:25:1, 19:59:25:1, 20:59:25:1, 21:59:25:1, 22:59:25:1,
  23:59:25:1, 24:59:25:17:4, 25:59:25:5, 26:59:25:5, 27:59:25:5, 28:59:25:5, 29:59:25:5,
  -29:59:26:5, -28:59:26:5, -27:59:26:5, -26:59:26:5, -25:59:26:5, -24:59:26:5, -23:59:26:17:8,
  -3:59:26:1, -2:59:26:2, -1:59:26:2, 0:59:26:2, 1:59:26:2, 2:59:26:2, 3:59:26:1,
  23:59:26:17:8, 24:59:26:5, 25:59:26:5, 26:59:26:5, 27:59:26:5, 28:59:26:5, 29:59:26:5,
  -29:59:27:5, -28:59:27:5, -27:59:27:5, -26:59:27:5, -25:59:27:5, -24:59:27:5, -4:59:27:1,
  -3:59:27:2, -2:59:27:2, -1:59:27:2, 0:59:27:2, 1:59:27:2, 2:59:27:2, 3:59:27:2,
  4:59:27:1, 24:59:27:5, 25:59:27:5, 26:59:27:5, 27:59:27:5, 28:59:27:5, 29:59:27:5,
  -29:59:28:5, -28:59:28:5, -27:59:28:5, -26:59:28:5, -25:59:28:5, -24:59:28:5, -4:59:28:1,
  -3:59:28:2, -2:59:28:2, -1:59:28:2, 0:59:28:2, 1:59:28:2, 2:59:28:2, 3:59:28:2,
  4:59:28:1, 24:59:28:5, 25:59:28:5, 26:59:28:5, 27:59:28:5, 28:59:28:5, 29:59:28:5,
  -28:59:29:5, -27:59:29:5, -26:59:29:5, -25:59:29:5, -24:59:29:5, -4:59:29:1, -3:59:29:2,
  -2:59:29:3, -1:59:29:2, 0:59:29:2, 1:59:29:2, 2:59:29:3, 3:59:29:2, 4:59:29:1, 24:59:29:5,
  25:59:29:5, 26:59:29:5, 27:59:29:5, 28:59:29:5, -4:59:30:1, -3:59:30:2, -2:59:30:2,
  -1:59:30:2, 0:59:30:2, 1:59:30:2, 2:59:30:2, 3:59:30:2, 4:59:30:1, -4:59:31:1, -3:59:31:2,
  -2:59:31:2, -1:59:31:2, 0:59:31:2, 1:59:31:2, 2:59:31:2, 3:59:31:2, 4:59:31:1, -3:59:32:1,
  -2:59:32:2, -1:59:32:2, 0:59:32:2, 1:59:32:2, 2:59:32:2, 3:59:32:1, -2:59:33:1,
  -1:59:33:1, 0:59:33:1, 1:59:33:1, 2:59:33:1, -2:59:34:5, -1:59:34:5, 0:59:34:5,
  1:59:34:5, 2:59:34:5, -2:59:35:5, -1:59:35:5, 0:59:35:5, 1:59:35:5, 2:59:35:5, -2:59:36:5,
  -1:59:36:5, 0:59:36:5, 1:59:36:5, 2:59:36:5, -2:59:37:5, -1:59:37:5, 0:59:37:5,
  1:59:37:5, 2:59:37:5, -2:59:38:5, -1:59:38:5, 0:59:38:5, 1:59:38:5, 2:59:38:5, -2:60:-41:17,
  -1:60:-41:17:4, 0:60:-41:17:4, 1:60:-41:17:4, 2:60:-41:17, -3:60:-40:17:8, 3:60:-40:17:8,
  -3:60:-39:17:8, 3:60:-39:17:8, -3:60:-38:17:8, 3:60:-38:17:8, -3:60:-37:17:8, 3:60:-37:17:8,
  -3:60:-36:17:8, 3:60:-36:17:8, -2:60:-35:17, 2:60:-35:17, -2:60:-34:31:1, -2:60:-33:31:1,
  -1:60:-33:31:1, 0:60:-33:31:1, 1:60:-33:38:1, -2:60:-32:31:1, -1:60:-32:31:1, 0:60:-32:31:1,
  1:60:-32:31:1, -3:60:-31:31:1, -2:60:-31:31:1, 0:60:-31:31:1, 1:60:-31:31:1, 2:60:-31:31:1,
  -27:60:-30:17:4, -26:60:-30:17:4, -25:60:-30:17:4, -24:60:-30:17, -1:60:-30:38:1,
  0:60:-30:31:1, 1:60:-30:31:1, 24:60:-30:17, 25:60:-30:17:4, 26:60:-30:17:4, 27:60:-30:17:4,
  -28:60:-29:17, -23:60:-29:17:8, -3:60:-29:31:1, -2:60:-29:17, 1:60:-29:31:1, 2:60:-29:17,
  23:60:-29:17:8, 28:60:-29:17, -29:60:-28:17, -23:60:-28:17:8, 23:60:-28:17:8, 29:60:-28:17,
  -30:60:-27:17:8, -23:60:-27:17:8, 23:60:-27:17:8, 30:60:-27:17:8, -30:60:-26:17:8,
  -23:60:-26:17, 23:60:-26:17, 30:60:-26:17:8, -30:60:-25:17:8, 30:60:-25:17:8, -30:60:-24:17,
  30:60:-24:17, -29:60:-23:17:4, -28:60:-23:17:4, -27:60:-23:17:4, -26:60:-23:17,
  -19:60:-23:17, 18:60:-23:31:1, 19:60:-23:17, 20:60:-23:31:1, 22:60:-23:31:1, 23:60:-23:38:1,
  26:60:-23:17, 27:60:-23:17:4, 28:60:-23:17:4, 29:60:-23:17:4, -23:60:-22:31:1, -22:60:-22:31:1,
  -20:60:-22:31:1, -19:60:-22:31:1, 18:60:-22:31:1, 19:60:-22:31:1, 20:60:-22:31:1,
  21:60:-22:31:1, -22:60:-21:31:1, -21:60:-21:31:1, -20:60:-21:31:1, -19:60:-21:31:1,
  18:60:-21:31:1, 19:60:-21:31:1, 20:60:-21:31:1, -23:60:-20:31:1, -22:60:-20:31:1,
  -21:60:-20:31:1, -20:60:-20:31:1, -19:60:-20:31:1, 18:60:-20:38:1, 19:60:-20:31:1,
  20:60:-20:31:1, 21:60:-20:38:1, -23:60:-19:17, -22:60:-19:31:1, -21:60:-19:31:1,
  -20:60:-19:31:1, -19:60:-19:31:1, 21:60:-19:31:1, 22:60:-19:31:1, 23:60:-19:17,
  -21:60:-18:31:1, -20:60:-18:38:1, 20:60:-18:31:1, 21:60:-18:31:1, -8:60:-9:98, -7:60:-9:98,
  -6:60:-9:98, 6:60:-9:98, 7:60:-9:98, 8:60:-9:98, -9:60:-8:98, -8:60:-8:98, -7:60:-8:65:2,
  -6:60:-8:98, -5:60:-8:98, -1:60:-8:44:5, 0:60:-8:44:5, 1:60:-8:44:5, 5:60:-8:98,
  6:60:-8:98, 7:60:-8:98, 8:60:-8:98, 9:60:-8:98, -9:60:-7:98, -8:60:-7:98, -7:60:-7:17:1,
  -6:60:-7:98, -5:60:-7:98, -2:60:-7:98, -1:60:-7:44:5, 0:60:-7:44:5, 1:60:-7:44:5,
  5:60:-7:98, 6:60:-7:98, 7:60:-7:17:1, 8:60:-7:65:5, 9:60:-7:98, -9:60:-6:98, -8:60:-6:98,
  -7:60:-6:98, -6:60:-6:98, -5:60:-6:98, -1:60:-6:44:5, 0:60:-6:44:5, 1:60:-6:44:5,
  5:60:-6:98, 6:60:-6:98, 7:60:-6:98, 8:60:-6:98, 9:60:-6:98, -8:60:-5:98, -7:60:-5:98,
  -6:60:-5:98, -2:60:-5:98, -1:60:-5:44:5, 0:60:-5:44:5, 1:60:-5:44:5, 2:60:-5:98,
  6:60:-5:98, 7:60:-5:98, 8:60:-5:98, -1:60:-4:44:5, 0:60:-4:44:5, 1:60:-4:44:5, -38:60:-3:17:4,
  -37:60:-3:17:4, -36:60:-3:17:4, -35:60:-3:17:4, -34:60:-3:17:4, -2:60:-3:98, 2:60:-3:98,
  26:60:-3:31:1, 27:60:-3:31:1, 29:60:-3:31:1, 33:60:-3:17:4, 34:60:-3:17:4, 35:60:-3:17:4,
  36:60:-3:17:4, 37:60:-3:17:4, -39:60:-2:17, -33:60:-2:17, -29:60:-2:17, -27:60:-2:31:1,
  -7:60:-2:98, -5:60:-2:98, -3:60:-2:98, 3:60:-2:98, 5:60:-2:98, 7:60:-2:98, 25:60:-2:31:1,
  26:60:-2:31:1, 27:60:-2:31:1, 28:60:-2:31:1, 29:60:-2:17, 32:60:-2:17, 38:60:-2:17,
  -39:60:-1:17:8, -30:60:-1:31:1, -29:60:-1:31:1, -28:60:-1:31:1, -27:60:-1:31:1,
  -8:60:-1:44:5, -7:60:-1:44:5, -6:60:-1:44:5, -5:60:-1:44:5, -4:60:-1:44:5, 4:60:-1:44:5,
  5:60:-1:44:5, 6:60:-1:44:5, 7:60:-1:44:5, 8:60:-1:44:5, 25:60:-1:31:1, 26:60:-1:31:1,
  27:60:-1:38:1, 29:60:-1:31:1, 30:60:-1:38:1, 38:60:-1:17:8, -39:60:0:17:8, -30:60:0:31:1,
  -29:60:0:31:1, -28:60:0:31:1, -27:60:0:31:1, -26:60:0:31:1, -8:60:0:44:5, -7:60:0:44:5,
  -6:60:0:44:5, -5:60:0:44:5, -4:60:0:44:5, -1:60:0:126:1, 0:60:0:17:1, 4:60:0:44:5,
  5:60:0:44:5, 6:60:0:44:5, 7:60:0:44:5, 8:60:0:44:5, 25:60:0:38:1, 26:60:0:31:1,
  27:60:0:31:1, 30:60:0:31:1, 38:60:0:17:8, -39:60:1:17:8, -30:60:1:38:1, -29:60:1:31:1,
  -28:60:1:31:1, -27:60:1:31:1, -26:60:1:38:1, -8:60:1:44:5, -7:60:1:44:5, -6:60:1:44:5,
  -5:60:1:44:5, -4:60:1:44:5, 4:60:1:44:5, 5:60:1:44:5, 6:60:1:44:5, 7:60:1:44:5,
  8:60:1:44:5, 29:60:1:31:1, 30:60:1:31:1, 38:60:1:17:8, -39:60:2:17, -33:60:2:17,
  -29:60:2:17, -28:60:2:31:1, -27:60:2:38:1, -26:60:2:38:1, -7:60:2:98, -5:60:2:98,
  -3:60:2:98, 3:60:2:98, 5:60:2:98, 7:60:2:98, 29:60:2:17, 32:60:2:17, 38:60:2:17,
  -38:60:3:17:4, -37:60:3:17:4, -36:60:3:17:4, -35:60:3:17:4, -34:60:3:17:4, -29:60:3:31:1,
  -28:60:3:31:1, -27:60:3:31:1, -2:60:3:98, 2:60:3:98, 33:60:3:17:4, 34:60:3:17:4,
  35:60:3:17:4, 36:60:3:17:4, 37:60:3:17:4, -1:60:4:44:5, 0:60:4:44:5, 1:60:4:44:5,
  -8:60:5:98, -7:60:5:98, -6:60:5:98, -2:60:5:98, -1:60:5:44:5, 0:60:5:44:5, 1:60:5:44:5,
  2:60:5:98, 6:60:5:98, 7:60:5:98, 8:60:5:98, -9:60:6:98, -8:60:6:98, -7:60:6:98,
  -6:60:6:98, -5:60:6:98, -1:60:6:44:5, 0:60:6:44:5, 1:60:6:44:5, 5:60:6:98, 6:60:6:98,
  7:60:6:98, 8:60:6:98, 9:60:6:98, -9:60:7:98, -8:60:7:65:4, -7:60:7:17:1, -6:60:7:98,
  -5:60:7:98, -2:60:7:98, -1:60:7:44:5, 0:60:7:44:5, 1:60:7:44:5, 2:60:7:98, 5:60:7:98,
  6:60:7:98, 7:60:7:17:1, 8:60:7:98, 9:60:7:98, -9:60:8:98, -8:60:8:98, -7:60:8:98,
  -6:60:8:98, -5:60:8:98, -1:60:8:44:5, 0:60:8:44:5, 1:60:8:44:5, 5:60:8:98, 6:60:8:98,
  7:60:8:65:3, 8:60:8:98, 9:60:8:98, -8:60:9:98, -7:60:9:98, -6:60:9:98, 6:60:9:98,
  7:60:9:98, 8:60:9:98, -22:60:18:31:1, -21:60:18:31:1, 19:60:18:31:1, 20:60:18:31:1,
  21:60:18:31:1, 22:60:18:31:1, -23:60:19:17, -22:60:19:31:1, -21:60:19:38:1, -20:60:19:31:1,
